formula,target
Tc0P0S1,-0.23407036915518264
Tc0P1S0,0.002609444083694088
Tc0P1S1,-0.25385020394122554
Tc0P1S2,-0.2310874048153429
Tc0P1S3,-0.211892510823284
Tc0P1S4,-0.2011446531117919
Tc0P1S5,-0.18120884712099047
Tc0P1S6,-0.17035530497205753
Tc0P1S7,-0.1757307844393309
Tc0P1S8,-0.17731344143805114
Tc0P1S9,-0.17770079358769889
Tc0P1S10,-0.17389530669158845
Tc0P1S11,-0.17355469497781204
Tc0P1S12,-0.16992109567515393
Tc0P1S13,-0.1743600745354577
Tc0P1S14,-0.17047913856477204
Tc0P1S15,-0.16530531308457624
Tc0P2S1,-0.09387679610769344
Tc0P2S3,-0.2380716164147514
Tc0P2S5,-0.21472401478353093
Tc0P2S7,-0.1952177966201841
Tc0P2S9,-0.17800007941697107
Tc0P2S11,-0.18262295026526626
Tc0P2S13,-0.18049088119553308
Tc0P2S15,-0.1756215039983752
Tc0P3S1,-0.06426489120148854
Tc0P3S2,-0.07373743954203689
Tc0P3S4,-0.23335333212191142
Tc0P3S5,-0.23181487818211202
Tc0P3S7,-0.21441877812989393
Tc0P3S8,-0.20630427217997013
Tc0P3S10,-0.19437874228944435
Tc0P3S11,-0.1923362896641542
Tc0P3S13,-0.18888199013700435
Tc0P3S14,-0.18511375206187
Tc0P4S1,-0.043931002456899806
Tc0P4S3,-0.05470878676213706
Tc0P4S5,-0.23780494921768117
Tc0P4S7,-0.2218486509633298
Tc0P4S9,-0.21496591927736877
Tc0P4S11,-0.2108710096519065
Tc0P4S13,-0.2006574624394182
Tc0P4S15,-0.19967773371186773
Tc0P5S1,-0.02861491760841495
Tc0P5S2,-0.04291363160552895
Tc0P5S3,-0.06195743016420281
Tc0P5S4,-0.07205993077747841
Tc0P5S6,-0.23143875214873705
Tc0P5S7,-0.23271988643797722
Tc0P5S8,-0.23038656770568622
Tc0P5S9,-0.2329756169126884
Tc0P5S11,-0.2178095276665372
Tc0P5S12,-0.21062817488387092
Tc0P5S13,-0.21117162758988528
Tc0P5S14,-0.2152294109658832
Tc0P6S1,-0.029605153683897788
Tc0P6S5,-0.09173664444779503
Tc0P6S7,-0.2327781160197904
Tc0P6S11,-0.22498635749874496
Tc0P6S13,-0.21647911987871093
Tc0P7S1,-0.031146092942025274
Tc0P7S2,-0.041136186163715865
Tc0P7S3,-0.06349996757021785
Tc0P7S4,-0.08036247561662618
Tc0P7S5,-0.10576620411655765
Tc0P7S6,-0.1099895558481594
Tc0P7S8,-0.23244842425739048
Tc0P7S9,-0.22855643178556917
Tc0P7S10,-0.22986878575856554
Tc0P7S11,-0.21679413691774346
Tc0P7S12,-0.22098976927238576
Tc0P7S13,-0.21625736212095442
Tc0P8S1,-0.03317042843986077
Tc0P8S3,-0.06527487613550877
Tc0P8S5,-0.10578841299101653
Tc0P8S7,-0.1162863534370514
Tc0P8S9,-0.23185104665322648
Tc0P8S11,-0.22268901796579763
Tc0P9S1,-0.04386228882947116
Tc0P9S2,-0.06119468050271019
Tc0P9S4,-0.09663980545345602
Tc0P9S5,-0.10361361887336948
Tc0P9S7,-0.11595385155735215
Tc0P9S8,-0.12114443882154995
Tc0P9S10,-0.22534636553570273
Tc0P9S11,-0.22078142087798686
Tc0P10S1,-0.05221476044119278
Tc0P10S3,-0.0787215358757685
Tc0P10S7,-0.12465483384319494
Tc0P10S9,-0.12938558845700218
Tc0P11S1,-0.06539568875797402
